station,line_number,passengers_sum_for_every_day,station_number,passengers,line_name_АРБАТСК-ПОКРОВСК,line_name_БКЛ,line_name_БУТОВСКАЯ ЛИНИЯ,line_name_ЗАМОСКВОРЕЦКАЯ,line_name_КАЛИНИНСКАЯ,line_name_КАЛУЖСКО-РИЖСКАЯ,line_name_КОЛЬЦЕВАЯ,line_name_ЛЮБЛИНСКАЯ,line_name_МЦК,line_name_НЕКРАСОВСКАЯ,line_name_СЕРПУХОВ-ТИМИРЯЗ,line_name_СОКОЛЬНИЧЕСКАЯ,line_name_СОЛНЦЕВСКАЯ ЛИН.,line_name_ТАГАНСК-КРАСНОПР,line_name_ФИЛЁВСКАЯ
бульвар рокоссовского,8,931919,1,16671,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
черкизовская,8,996780,2,6248,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
преображенская площадь,8,975920,3,14094,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
сокольники,8,1043897,4,18651,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
красносельская,8,983652,5,7391,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
комсомольская,8,1055535,6,8883,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
красные ворота,8,963324,7,3067,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
чистые пруды,8,930634,8,12873,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
лубянка,8,1035229,9,8554,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
охотный ряд,8,1019041,10,19856,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
кропоткинская,8,1085090,11,13207,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
парк культуры,8,905642,12,9390,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
фрунзенская,8,1013499,13,8103,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
спортивная,8,1014960,14,10651,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
воробьевы горы,8,985400,15,18457,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
университет,8,1000435,16,1015,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
проспект вернадского,8,970428,17,4512,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
юго западная,8,967974,18,12444,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
красногвардейская,9,1037838,19,3325,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
домодедовская,9,1035020,20,12810,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
орехово,9,884202,21,15135,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
царицыно,9,956463,22,2211,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
кантемировская,9,1016517,23,13849,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
коломенская,9,943983,24,6937,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
автозаводская,9,916748,25,15508,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
павелецкая,9,921935,26,5118,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
новокузнецкая,9,950479,27,6163,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
театральная,9,946775,28,19141,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
